solution,fval,prob,rank_prob,rank_fval
[0. 1. 0. 0. 1. 0. 0.],-311.605,0.05078124999999999,1,1
[1. 0. 0. 0. 0. 1. 0.],-311.599,0.0087890625,42,2
[1. 1. 0. 1. 0. 0. 0.],-311.57800000000003,0.0009765625,101,3
[0. 0. 1. 1. 0. 0. 0.],-311.57,0.015625,18,4
[1. 1. 0. 0. 0. 1. 0.],-219.0,0.005859374999999999,57,5
[0. 0. 1. 0. 0. 1. 0.],-218.99199999999996,0.0009765625,104,6
[0. 1. 0. 0. 0. 0. 1.],-218.974,0.00390625,82,7
[0. 1. 1. 1. 0. 0. 0.],-218.971,0.0009765625,107,8
[0. 0. 0. 0. 1. 1. 0.],-214.265,0.0019531250000000004,92,9
[0. 1. 0. 1. 1. 0. 0.],-214.24400000000003,0.025390624999999997,5,10
[1. 0. 0. 1. 0. 1. 0.],-214.238,0.009765625000000002,39,11
[0. 0. 0. 1. 0. 0. 1.],-214.212,0.004882812500000001,70,12
[1. 1. 0. 0. 1. 0. 0.],-213.14300000000003,0.0029296874999999996,85,13
[0. 0. 1. 0. 1. 0. 0.],-213.135,0.0029296874999999996,84,14
[1. 0. 0. 0. 0. 0. 1.],-213.111,0.007812500000000002,47,15
[1. 0. 1. 1. 0. 0. 0.],-213.108,0.0087890625,44,16
[0. 0. 0. 0. 0. 1. 0.],-210.06099999999998,0.004882812500000001,74,17
[0. 1. 0. 1. 0. 0. 0.],-210.04000000000002,0.0009765625,117,18
[1. 1. 0. 0. 0. 0. 0.],-208.93900000000002,0.0029296874999999996,83,19
[0. 0. 1. 0. 0. 0. 0.],-208.93099999999998,0.0019531250000000004,96,20
[0. 0. 0. 0. 1. 0. 0.],-204.204,0.005859374999999999,58,21
[1. 0. 0. 1. 0. 0. 0.],-204.17700000000002,0.0009765625,112,22
[0. 1. 0. 0. 1. 1. 0.],-121.66599999999994,0.0019531250000000004,100,23
[1. 1. 0. 1. 0. 1. 0.],-121.63900000000001,0.0019531250000000004,97,24
[0. 0. 0. 0. 0. 1. 1.],-121.63400000000001,0.0087890625,43,25
[0. 0. 1. 1. 0. 1. 0.],-121.63099999999997,0.005859374999999999,60,26
[0. 1. 0. 1. 0. 0. 1.],-121.61300000000006,0.0029296874999999996,86,27
[0. 1. 1. 0. 1. 0. 0.],-120.53600000000006,0.013671875,21,28
