x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,0,0,0.0,-311.605,219
1,0,0,0,0,1,0,0.0,-311.599,149
1,1,0,1,0,0,0,0.0,-311.57800000000003,94
0,0,0,0,0,0,1,0.0,-311.573,111
0,0,1,1,0,0,0,0.0,-311.57,131
1,1,0,0,0,1,0,0.0,-219.0,22
0,0,1,0,0,1,0,0.0,-218.99199999999996,25
0,1,0,0,0,0,1,0.0,-218.974,14
0,1,1,1,0,0,0,0.0,-218.971,10
0,0,0,0,1,1,0,0.0,-214.265,27
0,1,0,1,1,0,0,0.0,-214.24400000000003,22
1,0,0,1,0,1,0,0.0,-214.238,8
0,0,0,1,0,0,1,0.0,-214.212,4
1,1,0,0,1,0,0,0.0,-213.14300000000003,23
0,0,1,0,1,0,0,0.0,-213.135,30
1,0,0,0,0,0,1,0.0,-213.111,4
1,0,1,1,0,0,0,0.0,-213.108,7
0,0,0,0,0,1,0,0.0,-210.06099999999998,15
0,1,0,1,0,0,0,0.0,-210.04000000000002,6
1,1,0,0,0,0,0,0.0,-208.93900000000002,5
0,0,1,0,0,0,0,0.0,-208.93099999999998,7
0,0,0,0,1,0,0,0.0,-204.204,14
1,0,0,1,0,0,0,0.0,-204.17700000000002,14
0,1,0,0,1,1,0,0.0,-121.666,5
1,1,0,1,0,1,0,0.0,-121.63900000000001,1
0,0,0,0,0,1,1,0.0,-121.63400000000001,2
0,0,1,1,0,1,0,0.0,-121.63099999999997,3
0,1,0,1,0,0,1,0.0,-121.613,1
0,1,1,0,1,0,0,0.0,-120.536,4
1,0,1,0,0,1,0,0.0,-120.52999999999997,2
1,1,0,0,0,0,1,0.0,-120.512,2
0,0,1,0,0,0,1,0.0,-120.5039999999999,1
0,1,0,0,0,1,0,0.0,-117.46199999999999,1
0,1,1,0,0,0,0,0.0,-116.332,1
1,0,0,0,1,1,0,0.0,-115.803,1
1,1,0,1,1,0,0,0.0,-115.78200000000004,1
0,0,0,0,1,0,1,0.0,-115.77700000000004,3
0,0,1,1,1,0,0,0.0,-115.774,2
0,0,0,1,1,0,0,0.0,-106.84300000000002,1
1,0,0,0,1,0,0,0.0,-105.74200000000002,2
1,0,0,0,0,0,0,0.0,-101.53800000000001,1
0,0,1,1,0,0,1,0.14285714285714285,-23.142999999999915,2
0,0,1,0,0,0,1,0.14285714285714285,-120.5039999999999,1
1,0,0,0,0,1,1,0.0,-23.172000000000025,1
0,1,0,1,1,0,0,0.14285714285714285,-214.24400000000003,1
