solution,fval,prob,rank_prob,rank_fval
[0. 1. 1. 0. 1. 1. 0.],275.20000000000005,0.015625,19,77
[1. 0. 0. 1. 0. 1. 1.],276.17600000000004,0.006835937500000001,53,78
[1. 1. 0. 0. 0. 1. 1.],276.33500000000004,0.011718749999999998,28,79
[0. 1. 0. 1. 1. 0. 1.],277.25800000000004,0.0087890625,41,80
[1. 1. 1. 1. 1. 0. 0.],278.73300000000006,0.012695312499999998,24,81
[0. 0. 1. 0. 0. 1. 1.],280.71500000000003,0.00390625,79,82
[0. 1. 1. 1. 0. 0. 1.],288.21399999999994,0.005859374999999999,57,83
[1. 0. 0. 1. 1. 0. 1.],473.29200000000003,0.0019531250000000004,103,84
[1. 1. 1. 0. 0. 0. 1.],484.40700000000004,0.0019531250000000004,102,85
[0. 1. 0. 0. 1. 1. 1.],568.757,0.018554687500000003,16,86
[1. 1. 0. 1. 1. 0. 1.],572.2900000000001,0.0087890625,42,87
[0. 1. 1. 1. 1. 1. 0.],574.039,0.028320312499999997,5,88
[1. 1. 0. 1. 0. 1. 1.],575.1740000000001,0.027343750000000003,6,89
[1. 0. 1. 0. 0. 1. 1.],575.747,0.0029296874999999996,89,90
[0. 0. 1. 1. 1. 0. 1.],576.67,0.0107421875,32,91
[0. 1. 1. 0. 1. 0. 1.],576.8290000000001,0.0029296874999999996,91,92
[0. 0. 1. 1. 0. 1. 1.],579.554,0.0205078125,11,93
[1. 1. 1. 1. 0. 0. 1.],583.2460000000001,0.00390625,75,94
[1. 0. 1. 0. 1. 0. 1.],772.8629999999999,0.0019531250000000004,100,95
[0. 1. 1. 0. 0. 1. 1.],779.7130000000001,0.004882812500000001,72,96
[1. 0. 1. 1. 0. 1. 1.],874.586,0.0009765625,112,97
[0. 1. 1. 1. 1. 0. 1.],875.668,0.0019531250000000004,94,98
[1. 0. 0. 1. 1. 1. 1.],1063.63,0.0019531250000000004,97,99
[0. 1. 0. 1. 1. 1. 1.],1067.596,0.030273437499999997,4,100
[1. 0. 1. 1. 1. 0. 1.],1071.702,0.033203125,3,101
[1. 1. 1. 0. 1. 0. 1.],1071.8609999999999,0.0019531250000000004,95,102
[0. 1. 1. 1. 0. 1. 1.],1078.5520000000001,0.011718749999999998,27,103
[1. 1. 0. 1. 1. 1. 1.],1362.6280000000002,0.0009765625,107,104
[0. 0. 1. 1. 1. 1. 1.],1367.0079999999998,0.00390625,76,105
[0. 1. 1. 0. 1. 1. 1.],1367.167,0.005859374999999999,62,106
[1. 1. 1. 1. 1. 0. 1.],1370.7,0.00390625,78,107
[1. 1. 1. 1. 0. 1. 1.],1373.584,0.0019531250000000004,93,108
[1. 0. 1. 1. 1. 1. 1.],1862.04,0.007812500000000002,46,109
[1. 1. 1. 0. 1. 1. 1.],1862.199,0.0029296874999999996,87,110
[0. 1. 1. 1. 1. 1. 1.],1866.0059999999999,0.004882812500000001,64,111
[1. 1. 1. 1. 1. 1. 1.],2361.038,0.009765625000000002,39,112
