x_0,x_1,x_2,x_3,x_4,x_5,x_6,energy,num_occurrences
0,0,0,0,0,0,0,0.0,1
0,0,1,0,0,0,0,-2200.379,1
0,0,1,0,0,0,1,-1400.5060000000003,1
0,0,0,0,0,0,1,-3200.1270000000004,1
0,0,0,0,1,0,1,-1401.0700000000006,1
0,0,1,0,1,0,1,2398.5509999999995,1
0,0,1,0,1,0,0,-2401.322,1
0,0,0,0,1,0,0,-2200.943,1
0,0,0,0,1,1,0,-2201.514,1
0,0,1,0,1,1,0,-401.89300000000003,1
0,0,1,0,1,1,1,8397.98,1
0,0,0,0,1,1,1,2598.3589999999995,1
0,0,0,0,0,1,1,-1200.6980000000003,1
0,0,1,0,0,1,1,2598.923,1
0,0,1,0,0,1,0,-2200.95,1
0,0,0,0,0,1,0,-2000.571,1
1,0,0,0,0,1,0,-3201.5699999999997,1
1,0,1,0,0,1,0,-1401.9489999999996,1
1,0,1,0,0,1,1,5397.924,1
1,0,0,0,0,1,1,-401.6970000000001,1
1,0,0,0,1,1,1,5397.36,1
1,0,1,0,1,1,1,13196.981,1
1,0,1,0,1,1,0,2397.108,1
1,0,0,0,1,1,0,-1402.513,1
1,0,0,0,1,0,0,-1401.942,1
1,0,1,0,1,0,0,397.6790000000001,1
1,0,1,0,1,0,1,7197.552,1
1,0,0,0,1,0,1,1397.9309999999996,1
1,0,0,0,0,0,1,-2401.126,1
1,0,1,0,0,0,1,1398.495,1
1,0,1,0,0,0,0,-1401.3779999999997,1
1,0,0,0,0,0,0,-1200.9989999999998,1
1,1,0,0,0,0,0,-2201.0,1
1,1,1,0,0,0,0,-401.3789999999999,1
1,1,1,0,0,0,1,4398.494,1
1,1,0,0,0,0,1,-1401.1270000000004,1
1,1,0,0,1,0,1,2397.9299999999994,1
1,1,1,0,1,0,1,10197.551,1
1,1,1,0,1,0,0,1397.678,1
1,1,0,0,1,0,0,-2401.943,1
1,1,0,0,1,1,0,-402.5140000000001,1
1,1,1,0,1,1,0,5397.107,1
1,1,1,0,1,1,1,18196.98,1
1,1,0,0,1,1,1,8397.359,1
1,1,0,0,0,1,1,2598.3019999999997,1
1,1,1,0,0,1,1,10397.922999999999,1
1,1,1,0,0,1,0,1598.0500000000002,1
1,1,0,0,0,1,0,-2201.571,1
0,1,0,0,0,1,0,-1000.5720000000001,1
0,1,1,0,0,1,0,799.049,1
0,1,1,0,0,1,1,7598.922,1
0,1,0,0,0,1,1,1799.3009999999995,1
0,1,0,0,1,1,1,5598.357999999999,1
0,1,1,0,1,1,1,13397.979,1
0,1,1,0,1,1,0,2598.1059999999998,1
0,1,0,0,1,1,0,-1201.5150000000003,1
0,1,0,0,1,0,0,-3200.9440000000004,1
0,1,1,0,1,0,0,-1401.3230000000003,1
0,1,1,0,1,0,1,5398.549999999999,1
0,1,0,0,1,0,1,-401.0710000000008,1
0,1,0,0,0,0,1,-2200.1280000000006,1
0,1,1,0,0,0,1,1599.4929999999995,1
0,1,1,0,0,0,0,-1200.38,1
0,1,0,0,0,0,0,-1000.001,1
0,1,0,1,0,0,0,-2001.001,1
0,1,1,1,0,0,0,-2201.38,1
0,1,1,1,0,0,1,2598.4929999999995,1
0,1,0,1,0,0,1,-1201.1280000000006,1
0,1,0,1,1,0,1,2597.928999999999,1
0,1,1,1,1,0,1,8397.55,1
0,1,1,1,1,0,0,-402.3230000000003,1
0,1,0,1,1,0,0,-2201.9440000000004,1
0,1,0,1,1,1,0,1797.4849999999997,1
0,1,1,1,1,1,0,5597.106,1
0,1,1,1,1,1,1,18396.979,1
0,1,0,1,1,1,1,10597.358,1
0,1,0,1,0,1,1,4798.3009999999995,1
0,1,1,1,0,1,1,10597.921999999999,1
