x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
1,1,0,1,0,0,0,0.0,-3202.0,117
1,0,0,0,0,1,0,0.0,-3201.5699999999997,154
0,0,1,1,0,0,0,0.0,-3201.379,225
0,1,0,0,1,0,0,0.0,-3200.9440000000004,98
0,0,0,0,0,0,1,0.0,-3200.1270000000004,186
1,0,1,1,0,0,0,0.0,-2402.3779999999997,24
1,1,0,0,1,0,0,0.0,-2401.943,7
0,0,1,0,1,0,0,0.0,-2401.322,23
1,0,0,0,0,0,1,0.0,-2401.126,19
1,0,0,1,0,1,0,0.0,-2202.5699999999997,9
1,0,0,1,0,0,0,0.0,-2201.999,5
0,1,0,1,1,0,0,0.0,-2201.9440000000004,6
1,1,0,0,0,1,0,0.0,-2201.571,5
0,0,0,0,1,1,0,0.0,-2201.514,11
0,1,1,1,0,0,0,0.0,-2201.38,9
0,0,0,1,0,0,1,0.0,-2201.1270000000004,12
1,1,0,0,0,0,0,0.0,-2201.0,11
0,0,1,0,0,1,0,0.0,-2200.95,18
0,0,0,0,1,0,0,0.0,-2200.943,12
0,0,1,0,0,0,0,0.0,-2200.379,15
0,1,0,0,0,0,1,0.0,-2200.1280000000006,5
0,1,0,1,0,0,0,0.0,-2001.001,4
0,0,0,0,0,1,0,0.0,-2000.571,7
1,1,0,1,1,0,0,0.0,-1402.9430000000002,2
1,1,1,1,0,0,0,0.0,-1402.379,1
0,0,1,1,1,0,0,0.0,-1402.3220000000001,3
1,0,0,1,0,0,1,0.0,-1402.1260000000002,1
1,0,1,0,0,1,0,0.0,-1401.9489999999996,1
1,0,0,0,1,0,0,0.0,-1401.942,1
0,1,1,0,1,0,0,0.0,-1401.3230000000003,2
0,0,0,0,1,0,1,0.0,-1401.0700000000006,1
0,0,1,1,0,1,0,0.0,-1201.9499999999998,1
0,1,0,0,1,1,0,0.0,-1201.5150000000003,1
0,1,0,1,0,0,1,0.0,-1201.1280000000006,1
1,1,0,1,1,0,0,0.14285714285714285,-1402.9430000000002,1
1,1,0,0,1,0,0,0.14285714285714285,-2401.943,1
1,0,0,0,0,1,1,0.0,-401.6970000000001,1
