solution,fval,prob,rank_prob,rank_fval
[1. 1. 0. 1. 0. 0. 0.],-3202.0,0.04296875,1,1
[1. 0. 0. 0. 0. 1. 0.],-3201.5699999999997,0.0019531250000000004,94,2
[0. 1. 0. 0. 1. 0. 0.],-3200.9440000000004,0.0166015625,16,3
[0. 0. 0. 0. 0. 0. 1.],-3200.1270000000004,0.019531250000000003,10,4
[1. 0. 1. 1. 0. 0. 0.],-2402.3779999999997,0.013671875,23,5
[1. 1. 0. 0. 1. 0. 0.],-2401.943,0.007812500000000002,51,6
[1. 0. 0. 0. 0. 0. 1.],-2401.126,0.0019531250000000004,97,7
[1. 0. 0. 1. 0. 1. 0.],-2202.5699999999997,0.012695312499999998,28,8
[1. 0. 0. 1. 0. 0. 0.],-2201.999,0.0087890625,41,9
[0. 1. 0. 1. 1. 0. 0.],-2201.9440000000004,0.019531250000000003,12,10
[1. 1. 0. 0. 0. 1. 0.],-2201.571,0.0009765625,103,11
[0. 0. 0. 0. 1. 1. 0.],-2201.514,0.00390625,81,12
[0. 1. 1. 1. 0. 0. 0.],-2201.38,0.0019531250000000004,93,13
[0. 0. 0. 1. 0. 0. 1.],-2201.1270000000004,0.015625,20,14
[1. 1. 0. 0. 0. 0. 0.],-2201.0,0.00390625,77,15
[0. 0. 1. 0. 0. 1. 0.],-2200.95,0.009765625000000002,38,16
[0. 0. 0. 0. 1. 0. 0.],-2200.943,0.0009765625,107,17
[0. 1. 0. 0. 0. 0. 1.],-2200.1280000000006,0.0107421875,32,18
[0. 1. 0. 1. 0. 0. 0.],-2001.001,0.0322265625,4,19
[0. 0. 0. 0. 0. 1. 0.],-2000.571,0.004882812500000001,69,20
[1. 1. 0. 1. 1. 0. 0.],-1402.9430000000002,0.007812500000000002,50,21
[1. 0. 0. 0. 1. 1. 0.],-1402.513,0.0263671875,6,22
[1. 1. 1. 1. 0. 0. 0.],-1402.379,0.011718749999999998,30,23
[0. 0. 1. 1. 1. 0. 0.],-1402.3220000000001,0.015625,18,24
[1. 0. 0. 1. 0. 0. 1.],-1402.1260000000002,0.0009765625,105,25
[1. 0. 0. 0. 1. 0. 0.],-1401.942,0.0009765625,110,26
[1. 0. 1. 0. 0. 0. 0.],-1401.3779999999997,0.019531250000000003,13,27
[0. 1. 1. 0. 1. 0. 0.],-1401.3230000000003,0.023437499999999997,7,28
[1. 1. 0. 0. 0. 0. 1.],-1401.1270000000004,0.0029296874999999996,86,29
[0. 0. 1. 0. 0. 0. 1.],-1400.5060000000003,0.006835937500000001,53,30
[1. 1. 0. 1. 0. 1. 0.],-1202.571,0.00390625,78,31
[0. 0. 1. 1. 0. 1. 0.],-1201.9499999999998,0.0029296874999999996,84,32
[0. 0. 0. 1. 1. 0. 0.],-1201.9430000000002,0.0019531250000000004,96,33
[0. 1. 0. 0. 1. 1. 0.],-1201.5150000000003,0.0087890625,43,34
[0. 1. 0. 1. 0. 0. 1.],-1201.1280000000006,0.00390625,75,35
[1. 0. 0. 0. 0. 0. 0.],-1200.9989999999998,0.0029296874999999996,88,36
[0. 0. 0. 0. 0. 1. 1.],-1200.6980000000003,0.015625,19,37
[0. 1. 1. 0. 0. 0. 0.],-1200.38,0.0009765625,102,38
[0. 0. 0. 1. 0. 1. 0.],-1001.5709999999999,0.0019531250000000004,101,39
[0. 0. 0. 1. 0. 0. 0.],-1001.0,0.018554687500000003,14,40
[0. 1. 0. 0. 0. 1. 0.],-1000.5720000000001,0.007812500000000002,48,41
[0. 1. 0. 0. 0. 0. 0.],-1000.001,0.007812500000000002,49,42
[1. 0. 1. 1. 0. 1. 0.],-402.9489999999996,0.0009765625,112,43
[1. 0. 0. 1. 1. 0. 0.],-402.942,0.00390625,76,44
[1. 1. 0. 0. 1. 1. 0.],-402.5140000000001,0.0029296874999999996,89,45
[0. 1. 1. 1. 1. 0. 0.],-402.3230000000003,0.005859374999999999,63,46
[1. 1. 0. 1. 0. 0. 1.],-402.1270000000004,0.0029296874999999996,90,47
[0. 0. 1. 0. 1. 1. 0.],-401.89300000000003,0.0009765625,108,48
[0. 0. 1. 1. 0. 0. 1.],-401.5060000000003,0.00390625,72,49
[1. 1. 1. 0. 0. 0. 0.],-401.3789999999999,0.0400390625,2,50
[0. 1. 0. 0. 1. 0. 1.],-401.0710000000008,0.012695312499999998,27,51
[0. 1. 0. 1. 0. 1. 0.],-1.5720000000001164,0.013671875,24,52
[0. 0. 0. 0. 0. 0. 0.],0.0,0.005859374999999999,62,53
