x_0,x_1,x_2,chain_break_fraction,energy,num_occurrences
1,1,0,0.0,-2126.1719999999996,664
0,0,1,0.0,-2000.2060000000001,333
0,1,1,0.0,-1116.933,1
0,1,0,0.0,-1116.7269999999999,2
