x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,1,0.0,-330.02700000000004,146
0,1,0,0,1,0,0,0.0,-330.006,136
1,0,0,0,0,1,0,0.0,-329.998,152
1,1,0,1,0,0,0,0.0,-329.99,193
0,0,1,1,0,0,0,0.0,-329.989,114
0,1,0,0,0,0,1,0.0,-240.02700000000004,12
1,0,0,0,0,0,1,0.0,-240.02400000000006,16
0,0,0,1,0,0,1,0.0,-240.02000000000004,11
0,0,0,0,1,1,0,0.0,-240.00699999999995,17
1,1,0,0,1,0,0,0.0,-240.003,15
0,0,1,0,1,0,0,0.0,-240.00199999999995,20
0,1,0,1,1,0,0,0.0,-239.99899999999997,9
1,1,0,0,0,1,0,0.0,-239.998,13
0,0,1,0,0,1,0,0.0,-239.99699999999996,16
1,0,0,1,0,1,0,0.0,-239.99099999999999,15
0,1,1,1,0,0,0,0.0,-239.98899999999998,10
1,0,1,1,0,0,0,0.0,-239.986,17
0,0,0,0,1,0,0,0.0,-220.00599999999997,6
0,0,0,0,0,1,0,0.0,-220.00099999999998,9
1,1,0,0,0,0,0,0.0,-219.997,16
0,0,1,0,0,0,0,0.0,-219.99599999999998,9
0,1,0,1,0,0,0,0.0,-219.993,8
1,0,0,1,0,0,0,0.0,-219.99,8
0,0,0,0,1,0,1,0.0,-150.03300000000002,1
0,0,0,0,0,1,1,0.0,-150.02800000000002,1
1,1,0,0,0,0,1,0.0,-150.02400000000006,2
0,1,0,1,0,0,1,0.0,-150.02000000000004,1
0,1,0,0,1,1,0,0.0,-150.00699999999995,3
1,0,0,0,1,1,0,0.0,-150.00399999999996,3
0,1,1,0,1,0,0,0.0,-150.00199999999995,2
1,0,1,0,0,1,0,0.0,-149.99399999999997,4
1,1,0,1,0,1,0,0.0,-149.99099999999999,2
0,0,1,1,0,1,0,0.0,-149.98999999999995,2
1,1,1,1,0,0,0,0.0,-149.986,1
1,0,0,0,1,0,0,0.0,-130.003,2
0,1,0,0,0,1,0,0.0,-130.00099999999998,1
0,1,1,0,0,0,0,0.0,-129.99599999999998,2
1,0,1,0,0,0,0,0.0,-129.993,1
0,1,0,0,0,0,0,0.0,-110.0,2
1,0,0,0,0,0,0,0.0,-109.99700000000001,2
