x_0,x_1,x_2,energy,num_occurrences
0,0,0,0.0,1
1,0,0,-110.00200000000001,1
1,0,1,-130.01,1
0,0,1,-220.00799999999998,1
0,1,1,-129.99099999999999,1
1,1,1,-39.992999999999995,1
1,1,0,-219.985,1
0,1,0,-109.983,1
