x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,0,0,0.0,-3030.344,72
1,0,0,0,0,1,0,0.0,-3030.252,235
0,0,0,0,0,0,1,0.0,-3029.871,155
1,1,0,1,0,0,0,0.0,-3029.815,238
0,1,0,0,1,0,0,0.0,-3029.375,116
0,0,1,0,0,1,0,0.0,-2040.4269999999997,5
1,0,0,1,0,1,0,0.0,-2040.4139999999998,9
1,0,1,1,0,0,0,0.0,-2040.3509999999999,4
0,0,0,1,0,0,1,0.0,-2040.0330000000004,10
0,1,1,1,0,0,0,0.0,-2039.9899999999996,4
0,0,0,0,1,1,0,0.0,-2039.9739999999997,12
0,0,1,0,1,0,0,0.0,-2039.9109999999996,4
1,1,0,0,0,1,0,0.0,-2039.8980000000001,15
1,0,0,0,0,0,1,0.0,-2039.8780000000002,17
0,1,0,1,1,0,0,0.0,-2039.5370000000003,9
0,1,0,0,0,0,1,0.0,-2039.5169999999998,11
1,1,0,0,1,0,0,0.0,-2039.3819999999998,6
0,0,0,0,0,1,0,0.0,-2020.245,18
0,0,1,0,0,0,0,0.0,-2020.1819999999998,4
1,0,0,1,0,0,0,0.0,-2020.169,15
0,1,0,1,0,0,0,0.0,-2019.808,8
0,0,0,0,1,0,0,0.0,-2019.7289999999998,5
1,1,0,0,0,0,0,0.0,-2019.653,18
0,0,0,0,0,1,1,0.0,-1050.116,1
1,0,0,1,0,0,1,0.0,-1050.04,1
0,1,0,1,0,0,1,0.0,-1049.679,2
0,1,0,0,1,1,0,0.0,-1049.62,2
1,1,0,1,1,0,0,0.0,-1049.5439999999999,1
1,0,1,0,0,0,0,0.0,-1030.1889999999999,1
0,1,0,0,0,1,0,0.0,-1029.8909999999996,1
1,0,0,0,1,0,0,0.0,-1029.7359999999999,1
