solution,fval,prob,rank_prob,rank_fval
[0. 0. 1. 1. 0. 0. 0.],-3030.344,0.0400390625,1,1
[1. 0. 0. 0. 0. 1. 0.],-3030.252,0.0009765625,114,2
[0. 0. 0. 0. 0. 0. 1.],-3029.871,0.006835937500000001,49,3
[1. 1. 0. 1. 0. 0. 0.],-3029.815,0.00390625,78,4
[0. 1. 0. 0. 1. 0. 0.],-3029.375,0.004882812500000001,72,5
[0. 0. 1. 0. 0. 1. 0.],-2040.4269999999997,0.014648437500000002,21,6
[1. 0. 0. 1. 0. 1. 0.],-2040.4139999999998,0.007812500000000002,42,7
[1. 0. 1. 1. 0. 0. 0.],-2040.3509999999997,0.005859374999999999,58,8
[0. 1. 1. 1. 0. 0. 0.],-2039.9899999999998,0.007812500000000002,43,9
[0. 0. 0. 0. 1. 1. 0.],-2039.9739999999997,0.0029296874999999996,89,10
[0. 0. 1. 0. 1. 0. 0.],-2039.9109999999996,0.0029296874999999996,85,11
[1. 1. 0. 0. 0. 1. 0.],-2039.8980000000001,0.004882812500000001,71,12
[1. 0. 0. 0. 0. 0. 1.],-2039.8780000000002,0.0029296874999999996,82,13
[0. 1. 0. 1. 1. 0. 0.],-2039.5369999999998,0.006835937500000001,55,14
[0. 1. 0. 0. 0. 0. 1.],-2039.5169999999998,0.00390625,77,15
[1. 1. 0. 0. 1. 0. 0.],-2039.3819999999996,0.005859374999999999,65,16
[0. 0. 0. 0. 0. 1. 0.],-2020.245,0.0009765625,101,17
[0. 0. 1. 0. 0. 0. 0.],-2020.1819999999998,0.0166015625,18,18
[1. 0. 0. 1. 0. 0. 0.],-2020.169,0.0009765625,103,19
[0. 1. 0. 1. 0. 0. 0.],-2019.808,0.03515625,4,20
[0. 0. 0. 0. 1. 0. 0.],-2019.7289999999998,0.0029296874999999996,86,21
[1. 1. 0. 0. 0. 0. 0.],-2019.653,0.006835937500000001,57,22
[0. 0. 1. 1. 0. 1. 0.],-1050.589,0.0380859375,2,23
[1. 0. 1. 0. 0. 1. 0.],-1050.4339999999993,0.0009765625,104,24
[0. 0. 0. 0. 0. 1. 1.],-1050.116,0.005859374999999999,60,25
[0. 0. 1. 1. 1. 0. 0.],-1050.0730000000003,0.0009765625,105,26
[0. 0. 1. 0. 0. 0. 1.],-1050.0529999999999,0.0107421875,31,27
[1. 0. 0. 1. 0. 0. 1.],-1050.04,0.0087890625,36,28
[1. 1. 1. 1. 0. 0. 0.],-1049.9970000000003,0.006835937500000001,50,29
[1. 0. 0. 0. 1. 1. 0.],-1049.9809999999998,0.028320312499999997,5,30
[0. 1. 0. 1. 0. 0. 1.],-1049.679,0.0019531250000000004,97,31
[0. 1. 0. 0. 1. 1. 0.],-1049.62,0.0009765625,106,32
[0. 0. 0. 0. 1. 0. 1.],-1049.6000000000004,0.0009765625,107,33
[1. 1. 0. 1. 1. 0. 0.],-1049.5439999999999,0.0009765625,118,34
[1. 1. 0. 0. 0. 0. 1.],-1049.5240000000003,0.004882812500000001,74,35
[0. 0. 0. 1. 0. 1. 0.],-1030.4070000000002,0.00390625,79,36
[1. 0. 1. 0. 0. 0. 0.],-1030.1889999999999,0.006835937500000001,48,37
[0. 0. 0. 1. 1. 0. 0.],-1029.8909999999996,0.018554687500000003,15,38
[0. 1. 1. 0. 0. 0. 0.],-1029.8279999999995,0.00390625,76,39
[1. 0. 0. 0. 1. 0. 0.],-1029.7359999999999,0.0009765625,110,40
[0. 0. 0. 1. 0. 0. 0.],-1010.162,0.0019531250000000004,92,41
[1. 0. 0. 0. 0. 0. 0.],-1010.0070000000001,0.0019531250000000004,98,42
[0. 1. 0. 0. 0. 0. 0.],-1009.646,0.007812500000000002,47,43
[1. 0. 1. 1. 0. 1. 0.],-60.59599999999955,0.022460937499999997,9,44
[0. 0. 1. 0. 1. 1. 0.],-60.15599999999904,0.00390625,81,45
[1. 0. 0. 0. 0. 1. 1.],-60.12299999999959,0.023437499999999997,8,46
[0. 1. 1. 1. 1. 0. 0.],-59.71899999999914,0.00390625,80,47
[1. 1. 0. 1. 0. 0. 1.],-59.685999999999694,0.0009765625,112,48
[1. 1. 0. 0. 1. 1. 0.],-59.6269999999995,0.009765625000000002,34,49
[0. 1. 0. 0. 1. 0. 1.],-59.246000000000095,0.03613281249999999,3,50
[0. 1. 0. 1. 0. 1. 0.],-40.052999999999884,0.014648437500000002,19,51
[1. 0. 0. 1. 1. 0. 0.],-39.89800000000014,0.0009765625,113,52
[1. 1. 1. 0. 0. 0. 0.],-39.835000000000036,0.004882812500000001,73,53
[0. 0. 0. 0. 0. 0. 0.],0.0,0.018554687500000003,14,54
[0. 1. 1. 0. 0. 1. 0.],949.9270000000006,0.014648437500000002,20,55
[1. 0. 1. 0. 1. 0. 0.],950.0820000000003,0.0263671875,6,56
[0. 0. 0. 1. 0. 1. 1.],1939.7219999999998,0.021484375,11,57
