x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,0,0,0.0,-3030.344,122
1,0,0,0,0,1,0,0.0,-3030.252,196
0,0,0,0,0,0,1,0.0,-3029.871,151
1,1,0,1,0,0,0,0.0,-3029.815,187
0,1,0,0,1,0,0,0.0,-3029.375,95
0,0,1,0,0,1,0,0.0,-2040.4269999999997,12
1,0,0,1,0,1,0,0.0,-2040.4139999999998,20
1,0,1,1,0,0,0,0.0,-2040.3509999999999,13
0,0,0,1,0,0,1,0.0,-2040.0330000000004,11
0,1,1,1,0,0,0,0.0,-2039.9899999999996,12
0,0,0,0,1,1,0,0.0,-2039.9739999999997,9
0,0,1,0,1,0,0,0.0,-2039.9109999999996,7
1,1,0,0,0,1,0,0.0,-2039.8980000000001,15
1,0,0,0,0,0,1,0.0,-2039.8780000000002,12
0,1,0,1,1,0,0,0.0,-2039.5370000000003,10
0,1,0,0,0,0,1,0.0,-2039.5169999999998,23
1,1,0,0,1,0,0,0.0,-2039.3819999999998,12
0,0,0,0,0,1,0,0.0,-2020.245,9
0,0,1,0,0,0,0,0.0,-2020.1819999999998,17
1,0,0,1,0,0,0,0.0,-2020.169,10
0,1,0,1,0,0,0,0.0,-2019.808,9
0,0,0,0,1,0,0,0.0,-2019.7289999999998,4
1,1,0,0,0,0,0,0.0,-2019.653,12
0,0,1,1,0,1,0,0.0,-1050.589,1
1,0,1,0,0,1,0,0.0,-1050.4339999999997,2
0,0,1,1,1,0,0,0.0,-1050.0729999999994,1
1,1,0,1,0,1,0,0.0,-1050.0600000000004,1
0,0,1,0,0,0,1,0.0,-1050.0529999999999,2
1,0,0,1,0,0,1,0.0,-1050.04,1
1,1,1,1,0,0,0,0.0,-1049.9969999999998,3
1,0,0,0,1,1,0,0.0,-1049.9809999999998,1
0,1,0,1,0,0,1,0.0,-1049.679,5
0,1,0,0,1,1,0,0.0,-1049.62,1
1,1,0,1,1,0,0,0.0,-1049.5439999999999,1
0,0,0,1,0,1,0,0.0,-1030.4070000000002,1
0,1,0,0,0,1,0,0.0,-1029.8909999999996,3
0,1,1,0,0,0,0,0.0,-1029.8279999999995,2
0,0,0,1,0,0,0,0.0,-1010.162,1
1,0,0,0,0,0,0,0.0,-1010.0070000000001,1
0,1,0,0,0,0,0,0.0,-1009.646,1
1,1,0,1,1,0,0,0.14285714285714285,-1049.5439999999999,1
1,1,0,0,1,0,0,0.14285714285714285,-2039.3819999999998,1
0,1,0,1,1,0,0,0.14285714285714285,-2039.5370000000003,1
0,0,1,0,1,0,0,0.14285714285714285,-2039.9109999999996,1
