x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,1,0.0,-3030.027,108
0,1,0,0,1,0,0,0.0,-3030.006,148
1,0,0,0,0,1,0,0.0,-3029.9980000000005,232
1,1,0,1,0,0,0,0.0,-3029.99,157
0,0,1,1,0,0,0,0.0,-3029.989,110
0,1,0,0,0,0,1,0.0,-2040.027,13
1,0,0,0,0,0,1,0.0,-2040.0240000000003,12
0,0,0,1,0,0,1,0.0,-2040.02,9
0,0,0,0,1,1,0,0.0,-2040.007,19
1,1,0,0,1,0,0,0.0,-2040.0029999999997,10
0,0,1,0,1,0,0,0.0,-2040.002,14
0,1,0,1,1,0,0,0.0,-2039.9989999999998,8
1,1,0,0,0,1,0,0.0,-2039.9980000000005,22
0,0,1,0,0,1,0,0.0,-2039.9970000000003,15
1,0,0,1,0,1,0,0.0,-2039.9910000000004,17
0,1,1,1,0,0,0,0.0,-2039.989,10
1,0,1,1,0,0,0,0.0,-2039.9860000000003,8
0,0,0,0,1,0,0,0.0,-2020.0059999999999,12
0,0,0,0,0,1,0,0.0,-2020.0010000000002,15
1,1,0,0,0,0,0,0.0,-2019.997,11
0,0,1,0,0,0,0,0.0,-2019.996,14
0,1,0,1,0,0,0,0.0,-2019.993,8
1,0,0,1,0,0,0,0.0,-2019.99,4
0,0,0,0,1,0,1,0.0,-1050.0329999999994,1
0,0,0,0,0,1,1,0.0,-1050.0280000000002,2
0,1,0,1,0,0,1,0.0,-1050.02,1
0,1,0,0,1,1,0,0.0,-1050.007,1
1,0,0,0,1,1,0,0.0,-1050.004,2
0,1,1,0,1,0,0,0.0,-1050.002,1
1,0,1,0,0,1,0,0.0,-1049.9940000000006,1
0,0,1,1,0,1,0,0.0,-1049.9900000000002,3
1,1,1,1,0,0,0,0.0,-1049.9860000000003,1
0,1,0,0,0,1,0,0.0,-1030.0010000000002,3
0,0,0,1,1,0,0,0.0,-1029.9989999999998,1
0,1,1,0,0,0,0,0.0,-1029.996,1
0,0,0,1,0,1,0,0.0,-1029.9940000000001,1
1,0,1,0,0,0,0,0.0,-1029.9930000000004,1
0,0,0,1,0,0,0,0.0,-1009.9929999999999,1
0,0,0,0,1,0,1,0.14285714285714285,-1050.0329999999994,1
0,1,0,0,1,0,1,0.14285714285714285,-60.03299999999945,2
