solution,fval,prob,rank_prob,rank_fval
[1. 1. 0. 1. 0. 0. 0.],-330.817,0.04882812500000001,1,1
[1. 0. 0. 0. 0. 1. 0.],-323.23400000000004,0.009765625000000002,41,2
[0. 1. 0. 0. 1. 0. 0.],-321.309,0.0009765625,99,3
[0. 0. 1. 1. 0. 0. 0.],-316.23199999999997,0.005859374999999999,54,4
[0. 0. 0. 0. 0. 0. 1.],-315.63699999999994,0.0019531250000000004,90,5
[1. 1. 0. 0. 0. 1. 0.],-232.42100000000005,0.006835937500000001,51,6
[0. 0. 0. 1. 0. 0. 1.],-231.2009999999999,0.0205078125,10,7
[0. 0. 0. 0. 1. 1. 0.],-229.29000000000002,0.0087890625,45,8
[1. 1. 0. 0. 1. 0. 0.],-227.375,0.0029296874999999996,82,9
[0. 1. 1. 1. 0. 0. 0.],-225.41899999999998,0.017578124999999997,17,10
[0. 1. 0. 1. 0. 0. 0.],-224.751,0.0019531250000000004,91,11
[1. 0. 1. 1. 0. 0. 0.],-222.298,0.00390625,72,12
[1. 0. 0. 0. 0. 0. 1.],-221.70299999999997,0.0029296874999999996,84,13
[1. 0. 0. 1. 0. 0. 0.],-221.63,0.012695312499999998,26,14
[0. 0. 1. 0. 0. 1. 0.],-217.836,0.012695312499999998,25,15
[0. 0. 0. 0. 0. 1. 0.],-217.168,0.005859374999999999,59,16
[1. 1. 0. 0. 0. 0. 0.],-215.25300000000001,0.0029296874999999996,85,17
[0. 0. 1. 0. 1. 0. 0.],-212.79000000000002,0.0009765625,104,18
[0. 0. 0. 0. 1. 0. 0.],-212.122,0.0009765625,107,19
[0. 0. 1. 0. 0. 0. 0.],-200.668,0.0087890625,44,20
[1. 1. 0. 1. 0. 1. 0.],-147.985,0.0029296874999999996,86,21
[1. 1. 0. 1. 1. 0. 0.],-142.93900000000008,0.0019531250000000004,92,22
[0. 1. 0. 0. 1. 1. 0.],-138.4770000000001,0.0107421875,36,23
[1. 0. 0. 1. 0. 0. 1.],-137.26699999999994,0.019531250000000003,13,24
[1. 0. 0. 0. 1. 1. 0.],-135.356,0.005859374999999999,58,25
[0. 0. 1. 1. 0. 1. 0.],-133.39999999999998,0.005859374999999999,56,26
[0. 0. 0. 0. 0. 1. 1.],-132.80499999999995,0.011718749999999998,30,27
[0. 0. 0. 1. 0. 1. 0.],-132.73199999999997,0.021484375,9,28
[1. 1. 0. 0. 0. 0. 1.],-130.89,0.006835937500000001,50,29
[0. 0. 0. 0. 1. 0. 1.],-127.75900000000001,0.028320312499999997,6,30
[0. 0. 0. 1. 1. 0. 0.],-127.68600000000004,0.011718749999999998,31,31
[0. 1. 0. 0. 0. 1. 0.],-126.35500000000002,0.009765625000000002,39,32
[0. 1. 1. 0. 1. 0. 0.],-121.97700000000009,0.0009765625,110,33
[1. 0. 0. 0. 1. 0. 0.],-118.18799999999999,0.011718749999999998,32,34
[0. 0. 1. 0. 0. 0. 1.],-116.30499999999995,0.021484375,8,35
[0. 0. 0. 1. 0. 0. 0.],-115.564,0.0029296874999999996,87,36
[0. 1. 1. 0. 0. 0. 0.],-109.85500000000002,0.018554687500000003,16,37
[0. 1. 0. 0. 0. 0. 0.],-109.18700000000001,0.013671875,24,38
[1. 0. 1. 0. 0. 0. 0.],-106.73400000000004,0.009765625000000002,38,39
[1. 0. 0. 0. 0. 0. 0.],-106.066,0.007812500000000002,49,40
[1. 1. 0. 0. 1. 1. 0.],-44.543000000000006,0.0107421875,35,41
[1. 0. 1. 1. 0. 1. 0.],-39.46600000000001,0.009765625000000002,40,42
[0. 1. 1. 1. 1. 0. 0.],-37.54099999999994,0.0322265625,4,43
[0. 1. 0. 0. 1. 0. 1.],-36.94599999999991,0.005859374999999999,60,44
[1. 0. 0. 1. 1. 0. 0.],-33.75200000000001,0.0009765625,112,45
[0. 0. 1. 1. 0. 0. 1.],-31.868999999999915,0.005859374999999999,63,46
[1. 1. 1. 0. 0. 0. 0.],-15.92100000000005,0.005859374999999999,57,47
