x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,1,0.0,-3017.6009999999997,180
0,0,1,1,0,0,0,0.0,-3016.552,192
1,0,0,0,0,1,0,0.0,-3012.111,141
0,1,0,0,1,0,0,0.0,-3005.679,112
1,1,0,1,0,0,0,0.0,-3002.0379999999996,128
0,0,1,0,0,1,0,0.0,-2026.8410000000003,19
0,0,1,0,1,0,0,0.0,-2021.8390000000004,13
1,0,0,0,0,0,1,0.0,-2019.2469999999994,12
1,0,1,1,0,0,0,0.0,-2018.1979999999999,23
0,1,0,0,0,0,1,0.0,-2017.8169999999996,4
0,0,0,1,0,0,1,0.0,-2017.7769999999996,27
0,1,1,1,0,0,0,0.0,-2016.768,17
0,0,1,0,0,0,0,0.0,-2016.3760000000002,11
0,0,0,0,1,1,0,0.0,-2015.9280000000003,8
1,1,0,0,0,1,0,0.0,-2012.3269999999998,12
1,0,0,1,0,1,0,0.0,-2012.2869999999998,12
0,0,0,0,0,1,0,0.0,-2010.4650000000001,13
1,1,0,0,1,0,0,0.0,-2007.3250000000003,5
0,1,0,1,1,0,0,0.0,-2005.855,9
0,0,0,0,1,0,0,0.0,-2005.4630000000002,9
1,1,0,0,0,0,0,0.0,-2001.8619999999999,10
1,0,0,1,0,0,0,0.0,-2001.822,7
0,1,0,1,0,0,0,0.0,-2000.3919999999998,9
0,0,1,0,0,0,1,0.0,-1033.9769999999999,1
1,0,1,0,0,1,0,0.0,-1028.487,1
0,0,0,0,0,1,1,0.0,-1028.0659999999998,1
0,0,1,1,0,1,0,0.0,-1027.0170000000003,1
0,0,0,0,1,0,1,0.0,-1023.0640000000003,1
0,1,1,0,1,0,0,0.0,-1022.0550000000003,1
0,0,1,1,1,0,0,0.0,-1022.0150000000003,1
1,1,0,0,0,0,1,0.0,-1019.4629999999993,3
1,0,0,1,0,0,1,0.0,-1019.4229999999993,2
1,1,1,1,0,0,0,0.0,-1018.4139999999998,2
1,0,0,0,1,1,0,0.0,-1017.5740000000005,1
0,1,1,0,0,0,0,0.0,-1016.5920000000001,1
1,1,0,1,0,1,0,0.0,-1012.5029999999997,1
0,1,0,0,0,1,0,0.0,-1010.681,1
0,0,0,1,0,1,0,0.0,-1010.6410000000001,1
1,0,0,0,1,0,0,0.0,-1007.1090000000004,2
0,0,0,1,1,0,0,0.0,-1005.6390000000001,1
1,0,0,0,0,0,0,0.0,-1001.646,1
0,0,0,1,0,0,0,0.0,-1000.1759999999999,2
0,1,0,0,1,0,1,0.14285714285714285,-23.2800000000002,1
0,0,1,1,0,0,1,0.14285714285714285,-34.15299999999979,1
