x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,0,0,0.0,-3052.904,193
1,0,0,0,0,1,0,0.0,-3049.88,108
1,1,0,1,0,0,0,0.0,-3028.372,180
0,0,0,0,0,0,1,0.0,-3013.005,126
0,1,0,0,1,0,0,0.0,-3005.5280000000002,117
0,0,1,0,0,1,0,0.0,-2075.779,15
1,0,0,1,0,1,0,0.0,-2067.029,10
1,0,1,1,0,0,0,0.0,-2062.7599999999998,23
0,1,1,1,0,0,0,0.0,-2054.271,21
1,1,0,0,0,1,0,0.0,-2051.2470000000003,8
0,0,0,0,1,1,0,0.0,-2044.185,16
0,0,0,0,0,1,0,0.0,-2040.024,12
0,0,1,0,1,0,0,0.0,-2039.9160000000002,14
0,0,1,0,0,0,0,0.0,-2035.755,16
0,0,0,1,0,0,1,0.0,-2030.154,18
1,0,0,1,0,0,0,0.0,-2027.0049999999999,14
1,0,0,0,0,0,1,0.0,-2022.8609999999999,12
0,1,0,1,1,0,0,0.0,-2022.6770000000001,16
0,1,0,1,0,0,0,0.0,-2018.5159999999998,12
1,1,0,0,1,0,0,0.0,-2015.3839999999998,12
0,1,0,0,0,0,1,0.0,-2014.3720000000003,10
1,1,0,0,0,0,0,0.0,-2011.223,11
0,0,0,0,1,0,0,0.0,-2004.161,7
1,0,1,0,0,1,0,0.0,-1085.6350000000002,1
1,1,0,1,0,1,0,0.0,-1068.3960000000002,1
1,1,1,1,0,0,0,0.0,-1064.1269999999997,2
0,0,1,1,1,0,0,0.0,-1057.065,1
1,0,0,0,1,1,0,0.0,-1054.0410000000002,1
0,0,0,0,0,1,1,0.0,-1053.0290000000005,4
0,0,1,0,0,0,1,0.0,-1048.7600000000002,2
1,0,1,0,0,0,0,0.0,-1045.6109999999999,3
0,1,0,0,1,1,0,0.0,-1045.5519999999997,1
0,1,1,0,1,0,0,0.0,-1041.2830000000004,2
0,1,1,0,0,0,0,0.0,-1037.1220000000003,1
0,1,0,1,0,0,1,0.0,-1031.5210000000002,1
0,0,0,1,1,0,0,0.0,-1021.31,1
0,0,0,0,1,0,1,0.0,-1017.1660000000002,1
0,0,0,1,0,0,0,0.0,-1017.1489999999999,1
1,0,0,0,0,0,0,0.0,-1009.856,2
0,1,0,0,0,0,0,0.0,-1001.367,2
1,1,1,0,0,0,0,0.0,-46.97799999999984,1
0,1,1,0,0,1,0,0.0,922.8540000000003,1
