x_0,x_1,x_2,x_3,x_4,x_5,x_6,energy,num_occurrences
0,0,0,0,0,0,0,0.0,1
0,0,1,0,0,0,0,-2035.755,1
0,0,1,0,0,0,1,-1048.7600000000002,1
0,0,0,0,0,0,1,-3013.005,1
0,0,0,0,1,0,1,-1017.1660000000002,1
0,0,1,0,1,0,1,2947.0789999999997,1
0,0,1,0,1,0,0,-2039.9160000000002,1
0,0,0,0,1,0,0,-2004.161,1
0,0,0,0,1,1,0,-2044.185,1
0,0,1,0,1,1,0,-79.94000000000005,1
0,0,1,0,1,1,1,8907.055,1
0,0,0,0,1,1,1,2942.81,1
0,0,0,0,0,1,1,-1053.0290000000005,1
0,0,1,0,0,1,1,2911.216,1
0,0,1,0,0,1,0,-2075.779,1
0,0,0,0,0,1,0,-2040.024,1
1,0,0,0,0,1,0,-3049.88,1
1,0,1,0,0,1,0,-1085.6350000000002,1
1,0,1,0,0,1,1,5901.36,1
1,0,0,0,0,1,1,-62.88500000000022,1
1,0,0,0,1,1,1,5932.954,1
1,0,1,0,1,1,1,13897.199,1
1,0,1,0,1,1,0,2910.2039999999997,1
1,0,0,0,1,1,0,-1054.0410000000002,1
1,0,0,0,1,0,0,-1014.0169999999998,1
1,0,1,0,1,0,0,950.2280000000001,1
1,0,1,0,1,0,1,7937.223,1
1,0,0,0,1,0,1,1972.9779999999998,1
1,0,0,0,0,0,1,-2022.8609999999999,1
1,0,1,0,0,0,1,1941.384,1
1,0,1,0,0,0,0,-1045.6109999999999,1
1,0,0,0,0,0,0,-1009.856,1
1,1,0,0,0,0,0,-2011.223,1
1,1,1,0,0,0,0,-46.97799999999984,1
1,1,1,0,0,0,1,4940.017,1
1,1,0,0,0,0,1,-1024.228,1
1,1,0,0,1,0,1,2971.611,1
1,1,1,0,1,0,1,10935.856,1
1,1,1,0,1,0,0,1948.861,1
1,1,0,0,1,0,0,-2015.3839999999998,1
1,1,0,0,1,1,0,-55.40800000000036,1
1,1,1,0,1,1,0,5908.8369999999995,1
1,1,1,0,1,1,1,18895.832000000002,1
1,1,0,0,1,1,1,8931.587,1
1,1,0,0,0,1,1,2935.7479999999996,1
1,1,1,0,0,1,1,10899.992999999999,1
1,1,1,0,0,1,0,1912.9979999999996,1
1,1,0,0,0,1,0,-2051.2470000000003,1
0,1,0,0,0,1,0,-1041.3909999999996,1
0,1,1,0,0,1,0,922.8540000000003,1
0,1,1,0,0,1,1,7909.849,1
0,1,0,0,0,1,1,1945.6039999999994,1
0,1,0,0,1,1,1,5941.443,1
0,1,1,0,1,1,1,13905.688,1
0,1,1,0,1,1,0,2918.693,1
0,1,0,0,1,1,0,-1045.5519999999997,1
0,1,0,0,1,0,0,-3005.5280000000002,1
0,1,1,0,1,0,0,-1041.2830000000004,1
0,1,1,0,1,0,1,5945.7119999999995,1
0,1,0,0,1,0,1,-18.53300000000013,1
0,1,0,0,0,0,1,-2014.3720000000003,1
0,1,1,0,0,0,1,1949.8729999999996,1
0,1,1,0,0,0,0,-1037.1220000000003,1
0,1,0,0,0,0,0,-1001.367,1
0,1,0,1,0,0,0,-2018.5159999999998,1
0,1,1,1,0,0,0,-2054.271,1
0,1,1,1,0,0,1,2932.7239999999997,1
0,1,0,1,0,0,1,-1031.5210000000002,1
0,1,0,1,1,0,1,2964.318,1
0,1,1,1,1,0,1,8928.563,1
0,1,1,1,1,0,0,-58.432000000000244,1
