solution,fval,prob,rank_prob,rank_fval
[0. 0. 1. 1. 0. 0. 0.],-3052.904,0.0380859375,1,1
[1. 0. 0. 0. 0. 1. 0.],-3049.88,0.0087890625,43,2
[1. 1. 0. 1. 0. 0. 0.],-3028.372,0.006835937500000001,53,3
[0. 0. 0. 0. 0. 0. 1.],-3013.005,0.009765625000000002,40,4
[0. 1. 0. 0. 1. 0. 0.],-3005.5280000000002,0.0019531250000000004,90,5
[0. 0. 1. 0. 0. 1. 0.],-2075.779,0.014648437500000002,22,6
[1. 0. 0. 1. 0. 1. 0.],-2067.0289999999995,0.006835937500000001,50,7
[1. 0. 1. 1. 0. 0. 0.],-2062.7599999999998,0.019531250000000003,12,8
[0. 1. 1. 1. 0. 0. 0.],-2054.271,0.028320312499999997,6,9
[1. 1. 0. 0. 0. 1. 0.],-2051.247,0.0019531250000000004,89,10
[0. 0. 0. 0. 1. 1. 0.],-2044.185,0.005859374999999999,55,11
[0. 0. 1. 0. 0. 0. 0.],-2035.755,0.0019531250000000004,97,12
[0. 0. 0. 1. 0. 0. 1.],-2030.154,0.019531250000000003,14,13
[1. 0. 0. 1. 0. 0. 0.],-2027.0049999999999,0.0009765625,107,14
[1. 0. 0. 0. 0. 0. 1.],-2022.8609999999999,0.0029296874999999996,88,15
[0. 1. 0. 1. 1. 0. 0.],-2022.6769999999997,0.009765625000000002,39,16
[0. 1. 0. 1. 0. 0. 0.],-2018.5159999999998,0.0019531250000000004,95,17
[1. 1. 0. 0. 1. 0. 0.],-2015.384,0.012695312499999998,26,18
[1. 1. 0. 0. 0. 0. 0.],-2011.223,0.00390625,80,19
[0. 0. 0. 0. 1. 0. 0.],-2004.161,0.00390625,81,20
[0. 0. 1. 1. 0. 1. 0.],-1092.9279999999999,0.005859374999999999,57,21
[1. 0. 1. 0. 0. 1. 0.],-1085.6350000000002,0.0009765625,104,22
[1. 1. 0. 1. 0. 1. 0.],-1068.3959999999997,0.0087890625,44,23
[1. 1. 1. 1. 0. 0. 0.],-1064.1270000000004,0.0009765625,106,24
[0. 0. 0. 1. 0. 1. 0.],-1057.1729999999998,0.011718749999999998,28,25
[0. 0. 1. 1. 1. 0. 0.],-1057.0650000000005,0.00390625,78,26
[1. 0. 0. 0. 1. 1. 0.],-1054.0409999999993,0.004882812500000001,68,27
[0. 0. 0. 0. 0. 1. 1.],-1053.0290000000005,0.005859374999999999,60,28
[0. 0. 1. 0. 0. 0. 1.],-1048.7600000000002,0.0009765625,113,29
[1. 0. 1. 0. 0. 0. 0.],-1045.6109999999999,0.011718749999999998,30,30
[0. 1. 0. 0. 1. 1. 0.],-1045.5519999999997,0.018554687500000003,15,31
[0. 1. 0. 0. 0. 1. 0.],-1041.3909999999996,0.0205078125,11,32
[0. 1. 1. 0. 1. 0. 0.],-1041.2830000000004,0.0029296874999999996,84,33
[1. 0. 0. 1. 0. 0. 1.],-1040.0100000000002,0.0029296874999999996,83,34
[0. 1. 1. 0. 0. 0. 0.],-1037.1220000000003,0.004882812500000001,64,35
[1. 1. 0. 1. 1. 0. 0.],-1032.5329999999994,0.012695312499999998,27,36
[0. 0. 0. 1. 1. 0. 0.],-1021.31,0.006835937500000001,52,37
[0. 0. 0. 0. 1. 0. 1.],-1017.1660000000002,0.0019531250000000004,100,38
[0. 0. 0. 1. 0. 0. 0.],-1017.1489999999999,0.005859374999999999,58,39
[1. 0. 0. 0. 0. 0. 0.],-1009.856,0.009765625000000002,36,40
[0. 1. 0. 0. 0. 0. 0.],-1001.367,0.0019531250000000004,94,41
[1. 0. 1. 1. 0. 1. 0.],-102.78399999999965,0.013671875,24,42
[0. 0. 1. 0. 1. 1. 0.],-79.94000000000051,0.007812500000000002,48,43
[0. 0. 1. 1. 0. 0. 1.],-65.90899999999965,0.030273437499999997,3,44
[1. 0. 0. 0. 0. 1. 1.],-62.88500000000022,0.005859374999999999,61,45
[0. 1. 0. 1. 0. 1. 0.],-58.539999999999964,0.015625,20,46
[0. 1. 1. 1. 1. 0. 0.],-58.4320000000007,0.029296875,5,47
[1. 1. 0. 0. 1. 1. 0.],-55.40799999999945,0.00390625,72,48
[1. 0. 0. 1. 1. 0. 0.],-31.166000000000167,0.017578124999999997,18,49
[0. 1. 0. 0. 1. 0. 1.],-18.533000000000357,0.0009765625,114,50
[0. 0. 0. 0. 0. 0. 0.],0.0,0.011718749999999998,29,51
[0. 1. 1. 0. 0. 1. 0.],922.8539999999994,0.0019531250000000004,99,52
[0. 0. 0. 1. 1. 1. 0.],938.6660000000002,0.030273437499999997,4,53
[1. 0. 1. 0. 1. 0. 0.],950.2280000000001,0.00390625,73,54
[0. 1. 1. 1. 0. 1. 0.],1905.705,0.0029296874999999996,82,55
[1. 1. 1. 0. 0. 1. 0.],1912.9979999999996,0.0107421875,33,56
[1. 0. 0. 1. 1. 1. 0.],1928.8099999999995,0.0009765625,102,57
[0. 0. 0. 1. 0. 1. 1.],1929.8220000000001,0.00390625,76,58
[1. 0. 1. 1. 1. 0. 0.],1933.0789999999997,0.009765625000000002,38,59
[0. 1. 0. 1. 1. 1. 0.],1937.299000000001,0.012695312499999998,25,60
[1. 0. 1. 0. 0. 0. 1.],1941.384,0.004882812500000001,62,61
[0. 1. 0. 0. 0. 1. 1.],1945.6040000000003,0.0019531250000000004,93,62
[0. 1. 1. 0. 0. 0. 1.],1949.8729999999996,0.0263671875,8,63
[0. 0. 0. 1. 1. 0. 1.],1965.6849999999995,0.004882812500000001,65,64
[1. 0. 0. 0. 1. 0. 1.],1972.978,0.0009765625,103,65
