distribution,n_agents,solution,p,fval,prob,rank,time,device,flag,time_bilp,penalty
Agent_based_uniform,2,"[1.0, 1.0, 0.0]",,-208.712,0.571,1,95.4,dwave,True,0.062465667724609,100
Agent_based_uniform,2,"[1.0, 1.0, 0.0]",,-208.712,1,1,0.000167846679688,exact dwave,True,0.062465667724609,100
Agent_based_uniform,2,[1. 1. 0.],1,-208.712,0.1630859375,1,0.033838033676148,QAOA,True,0.062465667724609,100
Agent_based_uniform,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",,-317.601,0.142,3,103.12,dwave,True,0.624418258666992,100
Agent_based_uniform,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",,-317.601,1,1,0.000314950942993,exact dwave,True,0.624418258666992,100
Agent_based_uniform,3,[0. 0. 0. 0. 0. 0. 1.],10,-317.601,0.0830078125,1,1.64248394966126,QAOA,True,0.624418258666992,100
Agent_based_normal,2,"[0.0, 0.0, 1.0]",,-208.934,0.351,2,93.98,dwave,True,0.061750411987305,100
Agent_based_normal,2,"[0.0, 0.0, 1.0]",,-208.934,1,1,0.000297069549561,exact dwave,True,0.061750411987305,100
Agent_based_normal,2,[0. 0. 1.],1,-208.934,0.2666015625,1,0.033238410949707,QAOA,True,0.061750411987305,100
Agent_based_normal,3,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",,-311.605,0.219,1,134.96,dwave,True,0.517368316650391,100
Agent_based_normal,3,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",,-311.605,1,1,0.000319719314575,exact dwave,True,0.517368316650391,100
Agent_based_normal,3,[0. 1. 0. 0. 1. 0. 0.],17,-311.605,0.05078125,1,3.13349413871765,QAOA,True,0.517368316650391,100
Modified_uniform_distribution,2,"[0.0, 0.0, 1.0]",,-219.685,0.665,1,79.8,dwave,True,0.059604644775391,100
Modified_uniform_distribution,2,"[0.0, 0.0, 1.0]",,-219.685,1,1,0.000172853469849,exact dwave,True,0.059604644775391,100
Modified_uniform_distribution,2,[0. 0. 1.],1,-219.685,0.1923828125,1,0.028964996337891,QAOA,True,0.059604644775391,100
Modified_uniform_distribution,3,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",,-330.817,0.176,2,106.24,dwave,True,0.641107559204102,100
Modified_uniform_distribution,3,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",,-330.817,1,1,0.000302791595459,exact dwave,True,0.641107559204102,100
Modified_uniform_distribution,3,[1. 1. 0. 1. 0. 0. 0.],10,-330.817,0.048828125,1,2.36003351211548,QAOA,True,0.641107559204102,100
Normal_distribution,2,"[0.0, 0.0, 1.0]",,-220.008,0.399,2,97,dwave,True,0.101804733276367,100
Normal_distribution,2,"[0.0, 0.0, 1.0]",,-220.008,1,1,0.000174045562744,exact dwave,True,0.101804733276367,100
Normal_distribution,2,[0. 0. 1.],1,-220.008,0.2890625,1,0.04296875,QAOA,True,0.101804733276367,100
Normal_distribution,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",,-330.027,0.146,3,105.68,dwave,True,0.576019287109375,100
Normal_distribution,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",,-330.027,1,1,0.000404119491577,exact dwave,True,0.576019287109375,100
Normal_distribution,3,[0. 0. 0. 0. 0. 0. 1.],2,-330.027,0.072265625,1,0.489985942840576,QAOA,True,0.576019287109375,100
Weibull_distribution,2,"[1.0, 1.0, 0.0]",,-201.069,0.37,2,93.48,dwave,True,0.069856643676758,100
Weibull_distribution,2,"[1.0, 1.0, 0.0]",,-201.069,1,1,0.000174522399902,exact dwave,True,0.069856643676758,100
Weibull_distribution,2,[1. 1. 0.],1,-201.069,0.404296875,1,0.042402744293213,QAOA,True,0.069856643676758,100
Weibull_distribution,3,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",,-303.569,0.234,1,111.28,dwave,True,0.601291656494141,100
Weibull_distribution,3,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",,-303.569,1,1,0.000397443771362,exact dwave,True,0.601291656494141,100
Weibull_distribution,3,[0. 0. 1. 1. 0. 0. 0.],6,-303.569,0.05859375,2,1.49882340431213,QAOA,True,0.601291656494141,100
Weighted_random_with_chisquare,2,"[0.0, 0.0, 1.0]",,-210.239,0.573,1,84.04,dwave,True,0.067949295043945,100
Weighted_random_with_chisquare,2,"[0.0, 0.0, 1.0]",,-210.239,1,1,0.000198125839233,exact dwave,True,0.067949295043945,100
Weighted_random_with_chisquare,2,[0. 0. 1.],2,-210.239,0.2763671875,1,0.054794073104858,QAOA,True,0.067949295043945,100
Weighted_random_with_chisquare,3,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",,-314.63,0.209,2,105.76,dwave,True,0.528573989868164,100
Weighted_random_with_chisquare,3,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",,-314.63,1,1,0.000389575958252,exact dwave,True,0.528573989868164,100
Weighted_random_with_chisquare,3,[1. 0. 0. 0. 0. 1. 0.],6,-314.63,0.037109375,1,1.58204126358032,QAOA,True,0.528573989868164,100
F_distribution,2,"[1.0, 1.0, 0.0]",,-326.172,0.999,1,76.94,dwave,True,0.062704086303711,100
F_distribution,2,"[1.0, 1.0, 0.0]",,-326.172,1,1,0.000182151794434,exact dwave,True,0.062704086303711,100
F_distribution,2,[1. 1. 0.],3,-326.172,0.1728515625,1,0.086413383483887,QAOA,True,0.062704086303711,100
F_distribution,3,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",,-427.362,0.394,1,81.76,dwave,True,0.587940216064453,100
F_distribution,3,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",,-427.362,1,1,0.000339508056641,exact dwave,True,0.587940216064453,100
F_distribution,3,[1. 1. 0. 1. 0. 0. 0.],7,-427.362,0.0625,1,0.909932851791382,QAOA,True,0.587940216064453,100
Laplace_or_double_exponential,3,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",,-3030.344,0.241,1,99.68,dwave,True,0.552177429199219,1000
Laplace_or_double_exponential,3,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",,-3030.344,1,1,0.00038480758667,exact dwave,True,0.552177429199219,1000
Laplace_or_double_exponential,3,[0. 0. 1. 1. 0. 0. 0.],11,-3030.344,0.0400390625,1,1.73215985298157,QAOA,True,0.552177429199219,1000
Rayleigh_distribution,3,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",,-3052.904,0.208,2,85.88,dwave,True,0.527620315551758,1000
Rayleigh_distribution,3,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",,-3052.904,1,1,0.000362157821655,exact dwave,True,0.527620315551758,1000
Rayleigh_distribution,3,[0. 0. 1. 1. 0. 0. 0.],12,-3052.904,0.0380859375,1,2.23449420928955,QAOA,True,0.527620315551758,1000
SVA_BETA_distribution,2,"[0.0, 0.0, 1.0]",,-2201.997,0.552,1,91.8,dwave,True,0.079870223999024,1000
SVA_BETA_distribution,2,"[0.0, 0.0, 1.0]",,-2201.997,1,1,0.000165224075317,exact dwave,True,0.079870223999024,1000
SVA_BETA_distribution,2,[0. 0. 1.],2,-2201.997,0.1767578125,1,0.052850961685181,QAOA,True,0.079870223999024,1000
SVA_BETA_distribution,3,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",,-3202,0.117,4,116.8,dwave,True,0.566959381103516,1000
SVA_BETA_distribution,3,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",,-3202,1,1,0.000345230102539,exact dwave,True,0.566959381103516,1000
SVA_BETA_distribution,3,[1. 1. 0. 1. 0. 0. 0.],6,-3202,0.04296875,1,0.882767677307129,QAOA,True,0.566959381103516,1000
Laplace_or_double_exponential,3,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",,-330.34400000000005,0.2,1,92.56,dwave,True,0.5540847778320312,100
Laplace_or_double_exponential,3,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",,-330.34400000000005,1,1,0.0003910064697265625,exact dwave,True,0.5540847778320312,100
Laplace_or_double_exponential,3,[1. 0. 0. 0. 0. 1. 0.],7,-330.252,0.029296875,2,1.057544231414795,QAOA,False,0.5540847778320312,100
