distribution,n_agents,solution,p,fval,prob,rank,time,device,flag,time_bilp,penalty
F_distribution,2,"[1.0, 1.0, 0.0]",,-326.17199999999997,0.999,1,76.94,dwave,True,0.06270408630371094,100
F_distribution,2,"[1.0, 1.0, 0.0]",,-326.17199999999997,1,1,0.00018215179443359375,exact dwave,True,0.06270408630371094,100
F_distribution,2,[1. 1. 0.],3,-326.17199999999997,0.1728515625,1,0.08641338348388672,QAOA,True,0.06270408630371094,100
F_distribution,3,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",,-427.362,0.394,1,81.76,dwave,True,0.5879402160644531,100
F_distribution,3,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",,-427.362,1,1,0.000339508056640625,exact dwave,True,0.5879402160644531,100
F_distribution,3,[1. 1. 0. 1. 0. 0. 0.],7,-427.362,0.0625,1,0.9099328517913818,QAOA,True,0.5879402160644531,100
