x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,-3000019.536,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,-3000019.3279999997,5
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,-3000019.1630000006,5
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-3000018.683,2
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,-3000018.475,5
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,-3000018.072,3
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,-3000017.973,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,-3000017.212,3
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0,-3000017.0640000002,8
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-3000016.375,5
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-3000015.1960000005,6
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,-3000014.6750000007,4
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,-3000013.681,3
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,-3000013.5150000006,5
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,-3000012.9749999996,11
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,-3000012.59,4
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,-3000012.069,3
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,-3000010.978,2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-3000010.221,4
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-3000009.426000001,12
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-3000007.6670000004,3
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,-3000007.4910000004,7
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-3000006.889,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,-3000006.131,8
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-3000004.1800000006,9
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3000002.5820000004,5
1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.06666666666666667,-1000026.6179999998,3
1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0.0,-2000041.7429999998,1
0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,-2000040.3890000004,2
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0,-2000039.7700000005,3
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,-2000039.5360000003,1
0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,-2000039.2199999997,1
0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0.0,-2000038.9170000004,3
1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-2000038.3600000003,2
0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.0,-2000038.1519999998,2
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,-2000037.523,1
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.0,-2000037.4460000005,2
0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0.0,-2000037.4000000004,1
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,-2000037.2539999997,2
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,-2000036.8510000007,2
1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,-2000035.9110000003,1
0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.0,-2000035.7030000007,1
0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0.0,-2000035.6499999994,1
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,-2000035.0580000002,1
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.0,-2000034.8500000006,1
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0,-2000034.524,3
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,-2000034.3330000006,1
0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0.0,-2000034.1210000003,4
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,-2000033.9299999997,1
1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-2000033.9220000003,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,-2000033.5869999994,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.0,-2000033.3110000002,2
0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0,-2000033.2810000004,4
0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0.0,-2000033.2680000002,2
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,-2000033.0319999997,1
1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0,-2000032.1259999997,1
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,-2000032.0729999999,1
0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0.0,-2000031.9179999996,2
0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,-2000031.8310000002,2
0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,-2000031.7970000003,4
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,-2000031.5710000005,2
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.0,-2000031.5609999998,4
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.0,-2000031.5520000001,3
1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0.0,-2000031.42,2
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0.0,-2000031.2120000003,3
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,-2000030.8099999996,1
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,-2000030.6629999995,5
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.0,-2000030.6550000003,1
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,-2000030.602,3
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,-2000030.199,1
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-2000029.9730000002,1
1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.0,-2000029.949,1
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,-2000029.8550000004,1
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.0,-2000029.5489999996,2
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,-2000029.1910000003,1
0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0,-2000028.9649999999,2
1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,-2000028.904,1
0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.0,-2000028.6959999995,2
0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0.0,-2000028.6390000004,1
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,-2000028.4479999999,2
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,-2000028.0650000004,3
0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0.0,-2000027.9330000002,4
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.0,-2000027.829,3
0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0.0,-2000027.7860000003,3
1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.0,-2000027.3530000001,1
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,-2000027.279,2
0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,-2000027.1130000008,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,-2000026.596,1
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,-2000026.5729999999,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,-2000026.4670000002,1
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,-2000026.335,4
0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,-2000026.315,1
0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0.0,-2000025.966,1
1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,-2000025.667,2
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-2000025.642,3
0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0.0,-2000025.563,1
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,-2000025.4819999998,1
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.0,-2000025.4589999996,1
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,-2000025.4170000001,4
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.0,-2000025.0560000008,1
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0,-2000024.9610000001,1
1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.0,-2000024.703,1
0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,-2000024.2030000007,2
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,-2000023.9699999997,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,-2000023.2980000004,1
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,-2000023.2640000004,2
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-2000023.0240000011,3
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,-2000022.506,2
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,-2000022.4960000003,1
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,-2000022.2680000002,5
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.0,-2000022.1800000002,2
1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,-2000022.0850000002,1
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.0,-2000021.8770000003,3
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.0,-2000021.4740000004,3
1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-2000021.2650000006,1
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-2000021.1929999997,1
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.0,-2000021.057000001,5
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,-2000020.9849999999,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,-2000020.654,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,-2000020.582,2
1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.0,-2000020.568000001,3
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,-2000020.2360000005,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,-2000019.8760000002,2
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,-2000019.7939999998,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,-2000019.7290000003,2
1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.0,-2000019.7150000008,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.0,-2000019.574,2
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,-2000019.491,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,-2000019.2080000006,2
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,-2000018.9699999997,1
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-2000018.9570000004,2
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.0,-2000018.8679999998,3
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,-2000018.7650000001,1
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.0,-2000018.721,2
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-2000018.638,3
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,-2000018.0180000002,2
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-2000017.7780000009,2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,-2000017.167,2
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2000016.1800000006,3
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,-2000016.114,2
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,-2000015.1720000003,3
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,-2000015.0330000003,4
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0,-2000014.466000001,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,-2000014.3939999999,1
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,-2000013.6220000002,2
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,-2000013.435,1
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,-2000013.0199999996,3
