x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.06666666666666667,-40000009.883,6
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,-40000007.282,24
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-40000023.21699999,3
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-40000020.320999995,7
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-40000018.986999996,16
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,-40000015.127,6
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,-40000013.603,7
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-40000010.33,12
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-40000009.936,4
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-40000009.883,5
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,-40000009.109,7
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,-40000007.996,14
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-40000007.282,5
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-40000006.591,4
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,-40000005.855,16
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,-40000005.188999996,21
1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,-40000004.742,11
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.06666666666666667,-10000014.699999996,10
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.06666666666666667,-30000016.621,7
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.06666666666666667,-30000013.584,8
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,-30000013.512999997,8
1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.06666666666666667,-30000011.427,4
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.06666666666666667,-30000008.883,4
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.06666666666666667,-30000008.846,1
