x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,0,0,0.0,-303.569,234
1,1,0,1,0,0,0,0.0,-303.08799999999997,119
1,0,0,0,0,1,0,0.0,-302.095,93
0,0,0,0,0,0,1,0.0,-300.808,133
0,1,0,0,1,0,0,0.0,-300.44399999999996,90
1,0,0,1,0,1,0,0.0,-204.40500000000003,10
1,0,1,1,0,0,0,0.0,-204.33200000000005,24
0,1,1,1,0,0,0,0.0,-203.584,19
0,0,0,1,0,0,1,0.0,-203.118,15
1,0,0,1,0,0,0,0.0,-203.073,12
0,1,0,1,1,0,0,0.0,-202.75399999999996,13
0,0,1,0,0,1,0,0.0,-202.591,19
0,1,0,1,0,0,0,0.0,-202.325,13
1,1,0,0,0,1,0,0.0,-202.11,8
0,0,0,0,1,1,0,0.0,-201.76099999999997,17
0,0,1,0,1,0,0,0.0,-201.688,21
1,0,0,0,0,0,1,0.0,-201.57100000000003,15
0,0,0,0,0,1,0,0.0,-201.332,22
0,0,1,0,0,0,0,0.0,-201.25900000000001,18
1,1,0,0,1,0,0,0.0,-201.207,4
0,1,0,0,0,0,1,0.0,-200.82299999999998,18
1,1,0,0,0,0,0,0.0,-200.778,16
0,0,0,0,1,0,0,0.0,-200.42899999999997,10
0,0,1,1,0,1,0,0.0,-104.90100000000001,2
1,1,0,1,0,1,0,0.0,-104.42000000000002,1
1,1,1,1,0,0,0,0.0,-104.34700000000004,3
0,0,1,1,1,0,0,0.0,-103.99799999999999,4
1,0,0,1,0,0,1,0.0,-103.88100000000003,1
0,0,0,1,0,1,0,0.0,-103.642,1
1,1,0,1,1,0,0,0.0,-103.517,1
1,0,1,0,0,1,0,0.0,-103.35400000000004,3
0,1,0,1,0,0,1,0.0,-103.13299999999998,3
0,0,0,1,1,0,0,0.0,-102.73899999999998,1
1,0,0,0,1,1,0,0.0,-102.524,1
0,0,0,1,0,0,0,0.0,-102.31,2
0,0,0,0,0,1,1,0.0,-102.13999999999999,3
0,0,1,0,0,0,1,0.0,-102.06700000000001,5
1,0,1,0,0,0,0,0.0,-102.02200000000005,3
0,1,0,0,1,1,0,0.0,-101.77599999999995,2
0,1,1,0,1,0,0,0.0,-101.70299999999997,1
1,1,0,0,0,0,1,0.0,-101.58600000000001,1
0,1,0,0,0,1,0,0.0,-101.34699999999998,3
0,1,1,0,0,0,0,0.0,-101.274,4
0,0,0,0,1,0,1,0.0,-101.23699999999997,2
1,0,0,0,1,0,0,0.0,-101.19200000000001,2
0,1,0,0,0,0,0,0.0,-100.01499999999999,1
0,1,1,1,0,0,0,0.14285714285714285,-203.584,1
1,0,1,1,0,1,0,0.0,-5.664000000000044,1
0,0,1,1,0,0,1,0.0,-4.3770000000000095,1
1,0,0,0,0,1,1,0.0,-2.9029999999999916,1
1,1,1,0,0,0,0,0.0,-2.0370000000000346,1
1,0,1,0,0,1,0,0.14285714285714285,-103.35400000000004,1
0,0,1,1,0,0,0,0.14285714285714285,-303.569,1
