x_0,x_1,x_2,energy,num_occurrences
0,0,0,0.0,1
1,0,0,-106.238,1
1,0,1,-108.97300000000001,1
0,0,1,-202.735,1
0,1,1,-112.59100000000001,1
1,1,1,-18.829000000000008,1
1,1,0,-216.094,1
0,1,0,-109.856,1
