x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
1,1,0,1,0,0,0,0.0,-427.362,394
1,0,0,0,0,1,0,0.0,-416.97999999999996,234
1,0,0,1,0,1,0,0.0,-327.55899999999997,22
1,0,1,1,0,0,0,0.0,-327.519,45
1,0,0,1,0,0,0,0.0,-327.306,35
1,0,0,0,0,0,1,0.0,-317.304,38
1,1,0,0,0,1,0,0.0,-317.03599999999994,17
1,1,0,0,1,0,0,0.0,-316.821,29
1,1,0,0,0,0,0,0.0,-316.783,32
0,0,1,1,0,0,0,0.0,-310.79200000000003,34
0,0,0,0,0,0,1,0.0,-300.577,26
0,1,0,0,1,0,0,0.0,-300.09400000000005,20
1,0,0,1,0,0,1,0.0,-227.88299999999998,5
1,1,1,1,0,0,0,0.0,-227.575,11
1,1,0,1,1,0,0,0.0,-227.40000000000003,4
1,1,0,0,0,0,1,0.0,-217.36,5
1,0,1,0,0,1,0,0.0,-217.19299999999998,3
1,0,1,0,0,0,0,0.0,-216.94,4
1,0,0,0,1,0,0,0.0,-216.765,2
1,0,0,0,0,0,0,0.0,-216.72699999999998,3
0,0,0,1,0,0,1,0.0,-211.156,3
0,1,1,1,0,0,0,0.0,-210.848,1
0,1,0,1,1,0,0,0.0,-210.67300000000006,1
0,1,0,0,0,0,1,0.0,-200.63300000000004,2
0,0,1,0,0,1,0,0.0,-200.466,7
0,0,0,0,1,1,0,0.0,-200.291,3
0,0,0,0,0,1,0,0.0,-200.253,7
0,0,1,0,1,0,0,0.0,-200.25100000000003,5
0,0,0,0,1,0,0,0.0,-200.038,1
1,0,1,1,0,0,0,0.14285714285714285,-327.519,2
1,1,1,0,0,0,0,0.0,-116.99599999999998,3
0,0,1,1,1,0,0,0.0,-110.83000000000004,1
0,1,0,0,0,1,0,0.0,-100.30899999999997,1
