solution,fval,prob,rank_prob,rank_fval
[1. 1. 0. 1. 0. 0. 0.],-427.362,0.0625,1,1
[1. 0. 0. 0. 0. 1. 0.],-416.97999999999996,0.0546875,2,2
[1. 0. 0. 1. 0. 1. 0.],-327.55899999999997,0.0029296874999999996,86,3
[1. 0. 1. 1. 0. 0. 0.],-327.519,0.00390625,78,4
[1. 0. 0. 1. 0. 0. 0.],-327.306,0.015625,17,5
[1. 0. 0. 0. 0. 0. 1.],-317.304,0.013671875,25,6
[1. 1. 0. 0. 1. 0. 0.],-316.821,0.004882812500000001,68,7
[1. 1. 0. 0. 0. 0. 0.],-316.783,0.006835937500000001,52,8
[0. 0. 1. 1. 0. 0. 0.],-310.79200000000003,0.013671875,24,9
[0. 0. 0. 0. 0. 0. 1.],-300.577,0.022460937499999997,8,10
[0. 1. 0. 0. 1. 0. 0.],-300.09400000000005,0.012695312499999998,28,11
[1. 1. 0. 1. 0. 1. 0.],-227.615,0.015625,16,12
[1. 1. 1. 1. 0. 0. 0.],-227.57500000000005,0.005859374999999999,64,13
[1. 1. 0. 1. 1. 0. 0.],-227.4000000000001,0.013671875,23,14
[1. 1. 0. 0. 0. 0. 1.],-217.36,0.006835937500000001,50,15
[1. 0. 1. 0. 0. 1. 0.],-217.19299999999998,0.025390624999999997,6,16
[1. 0. 0. 0. 1. 1. 0.],-217.01800000000003,0.006835937500000001,53,17
[1. 0. 1. 0. 0. 0. 0.],-216.94,0.0009765625,100,18
[0. 0. 0. 1. 0. 0. 1.],-211.156,0.006835937500000001,47,19
[0. 1. 1. 1. 0. 0. 0.],-210.848,0.006835937500000001,49,20
[0. 1. 0. 1. 1. 0. 0.],-210.673,0.0029296874999999996,85,21
[0. 1. 0. 1. 0. 0. 0.],-210.63500000000002,0.0009765625,99,22
[0. 1. 0. 0. 0. 0. 1.],-200.63300000000004,0.006835937500000001,55,23
[0. 0. 1. 0. 0. 1. 0.],-200.466,0.0205078125,12,24
[0. 0. 0. 0. 1. 1. 0.],-200.291,0.009765625000000002,33,25
[0. 0. 0. 0. 0. 1. 0.],-200.253,0.013671875,26,26
[0. 0. 1. 0. 1. 0. 0.],-200.25100000000003,0.0087890625,35,27
[0. 0. 1. 0. 0. 0. 0.],-200.21300000000002,0.015625,14,28
[0. 0. 0. 0. 1. 0. 0.],-200.038,0.004882812500000001,72,29
[1. 1. 0. 1. 0. 0. 1.],-127.93900000000008,0.0205078125,10,30
[1. 0. 1. 1. 0. 1. 0.],-127.77199999999993,0.0019531250000000004,96,31
[1. 0. 0. 1. 1. 0. 0.],-127.34400000000005,0.0019531250000000004,92,32
[1. 1. 1. 0. 0. 0. 0.],-116.9960000000001,0.0009765625,106,33
[0. 1. 0. 1. 0. 0. 1.],-111.21199999999999,0.005859374999999999,65,34
[0. 0. 0. 1. 0. 1. 0.],-110.832,0.0087890625,41,35
[0. 0. 1. 1. 1. 0. 0.],-110.83000000000004,0.00390625,75,36
[0. 0. 0. 1. 1. 0. 0.],-110.61700000000002,0.00390625,76,37
[0. 0. 0. 1. 0. 0. 0.],-110.57900000000001,0.015625,19,38
[0. 0. 0. 0. 0. 1. 1.],-100.82999999999998,0.029296875,4,39
[0. 0. 1. 0. 0. 0. 1.],-100.79000000000002,0.004882812500000001,73,40
[0. 0. 0. 0. 1. 0. 1.],-100.61500000000001,0.0244140625,7,41
[0. 1. 0. 0. 1. 1. 0.],-100.34700000000004,0.0029296874999999996,87,42
[0. 1. 1. 0. 1. 0. 0.],-100.30700000000002,0.014648437500000002,22,43
[0. 1. 0. 0. 0. 0. 0.],-100.05600000000001,0.0087890625,38,44
[0. 0. 1. 1. 0. 0. 1.],-11.369000000000028,0.0019531250000000004,91,45
[0. 1. 0. 1. 0. 1. 0.],-10.888000000000034,0.0009765625,97,46
[0. 1. 1. 1. 1. 0. 0.],-10.885999999999967,0.007812500000000002,45,47
[0. 1. 0. 0. 1. 0. 1.],-0.6710000000000491,0.004882812500000001,71,48
[0. 0. 0. 0. 0. 0. 0.],0.0,0.006835937500000001,54,49
[1. 0. 0. 1. 1. 1. 0.],72.40300000000002,0.0029296874999999996,83,50
[1. 0. 1. 0. 0. 0. 1.],82.48299999999995,0.007812500000000002,46,51
[1. 0. 0. 0. 1. 0. 1.],82.65800000000002,0.004882812500000001,70,52
[1. 1. 1. 0. 0. 1. 0.],82.75099999999998,0.0019531250000000004,95,53
[1. 1. 1. 0. 1. 0. 0.],82.9659999999999,0.011718749999999998,30,54
[0. 0. 0. 1. 1. 1. 0.],89.13,0.0087890625,42,55
[0. 1. 1. 0. 0. 1. 0.],99.47800000000001,0.00390625,79,56
[1. 0. 0. 1. 0. 1. 1.],171.86400000000003,0.021484375,9,57
[1. 0. 1. 1. 0. 0. 1.],171.904,0.0087890625,36,58
[1. 1. 0. 1. 1. 1. 0.],172.34699999999998,0.005859374999999999,62,59
[1. 1. 1. 1. 1. 0. 0.],172.38699999999994,0.0087890625,37,60
[1. 1. 0. 0. 0. 1. 1.],182.38699999999994,0.014648437500000002,21,61
[1. 1. 0. 0. 1. 0. 1.],182.60199999999998,0.011718749999999998,29,62
[1. 0. 1. 0. 1. 1. 0.],182.769,0.012695312499999998,27,63
[0. 0. 0. 1. 0. 1. 1.],188.591,0.007812500000000002,43,64
[0. 0. 0. 1. 1. 0. 1.],188.80600000000004,0.0009765625,101,65
[0. 1. 1. 1. 0. 1. 0.],188.899,0.006835937500000001,51,66
[0. 1. 0. 1. 1. 1. 0.],189.07400000000007,0.0009765625,105,67
[0. 1. 0. 0. 0. 1. 1.],199.11400000000003,0.00390625,74,68
[0. 1. 1. 0. 0. 0. 1.],199.154,0.004882812500000001,69,69
[0. 1. 0. 1. 1. 0. 1.],288.75,0.005859374999999999,60,70
[0. 0. 1. 0. 1. 0. 1.],299.172,0.0019531250000000004,94,71
[0. 1. 1. 0. 1. 1. 0.],299.44000000000005,0.014648437500000002,20,72
[1. 1. 1. 0. 0. 0. 1.],382.4269999999999,0.004882812500000001,67,73
[1. 1. 0. 1. 0. 1. 1.],471.808,0.0009765625,104,74
[1. 1. 1. 1. 0. 0. 1.],471.84799999999996,0.0009765625,103,75
[1. 1. 0. 1. 1. 0. 1.],472.0229999999999,0.0009765625,102,76
[1. 0. 1. 0. 0. 1. 1.],482.23,0.0029296874999999996,88,77
[1. 0. 0. 0. 1. 1. 1.],482.405,0.015625,15,78
