x_0,x_1,x_2,energy,num_occurrences
0,0,0,0.0,1
1,0,0,-101.13900000000001,1
1,0,1,-111.37799999999999,1
0,0,1,-210.23899999999998,1
0,1,1,-111.23899999999998,1
1,1,1,-12.377999999999986,1
1,1,0,-202.139,1
0,1,0,-101.0,1
