x_0,x_1,x_2,chain_break_fraction,energy,num_occurrences
0,0,1,0.0,-210.23899999999998,573
1,1,0,0.0,-202.139,424
1,0,1,0.0,-111.37799999999999,2
0,1,1,0.0,-111.23899999999998,1
