x_0,x_1,x_2,energy,num_occurrences
0,0,0,0.0,1
1,0,0,-102.63300000000001,1
1,0,1,-122.31799999999998,1
0,0,1,-219.685,1
0,1,1,-119.83100000000002,1
1,1,1,-22.46399999999997,1
1,1,0,-202.779,1
0,1,0,-100.14599999999999,1
